,price,adress,Комнат,Площадь,Кухня,Этаж,Ремонт,Тип сделки,Количество балконов,Мусоропровод,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество квартир,Холодное водоснабжение,Теплоснабжение,Энергоснабжение,Водоотведение,Балкон,Детская площадка,Год ввода в эксплуатацию,Класс энергоэффективности,Количество подъездов,Количество лифтов,Жилая,Высота потолков,Грузовой лифт,Газ,Лет в собственности,Вид из окон,Вентиляция,Количество собственников,Несовершеннолетние собственники,Прописанные несовершеннолетние,Перепланировка,Спортивная площадка,Санузел,Наименьшее количество этажей,Площадь парковки,latitude,longitude
201,6690000.0,"Владивосток, улица Вострецова, 11",2.0,40.0,,4.0,1,Свободная продажа,,,1961.0,Кирпичный,II-03,4.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,Центральное,,,1,,,,,,,,,,От трех до пяти,во двор,,1.0,,,,,,,,43.14830935,131.91596742401663
202,4400000.0,"Владивосток, улица Нейбута, 2ак",1.0,28.2,6.0,2.0,0,Свободная продажа,1.0,,2022.0,Монолитный,,25.0,,Железобетонный,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.1247669,131.9573481
203,11230000.0,"Владивосток, Зейская улица, 14",3.0,96.0,10.0,6.0,1,,,есть,2018.0,Монолитно-кирпичный,,19.0,,Железобетонный,,Центральное,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.115926349999995,131.93379589395016
204,5100000.0,"Владивосток, улица Часовитина, 7",,,,,1,,,есть,1990.0,Панельный,,9.0,1.0,Железобетонный,Свайный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,C,,,,,,,,,,,,,,,,,,43.09502425,131.9413094056416
205,6350000.0,"Владивосток, улица Кирова, 10",2.0,44.0,6.0,2.0,1,Свободная продажа,1.0,,1967.0,Панельный,,5.0,,Железобетонный,Сплошной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,Центральное,,0,,,,,,28 м2,,,,,на улицу,Приточно-вытяжная,,,,,,,,,43.169985499999996,131.91181406369202
206,12500000.0,"Владивосток, 4",2.0,73.9,,3.0,1,,1.0,,,Кирпичный,,5.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.47001965,131.93085196457952
207,7700000.0,"Владивосток, улица Мусоргского, 72",1.0,44.6,14.0,12.0,0,,1.0,,2023.0,Монолитный,,24.0,1.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.2013578,131.9473328
208,11900000.0,"Владивосток, Русская улица, 11а",2.0,52.0,19.0,5.0,1,,1.0,есть,2000.0,Панельный,2.многоквартирный,10.0,1.0,Железобетонный,Ленточный,,,,,,,0,,,D,,,,,,,,,,,,,,,,,,43.169216399999996,131.90909843620412
209,28000000.0,"Владивосток, Таун Парк, улица Мусоргского, 29Б",4.0,153.2,,2.0,1,,1.0,,2010.0,Монолитный,,3.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
210,8500000.0,"Владивосток, Русская улица, 89",1.0,33.9,10.0,6.0,1,,,,2020.0,Монолитный,,18.0,,Железобетонный,,Центральное,157.0,,,,,0,,,,,,,,,,,,,,,,,,,,,43.1747299,131.93686554964611
211,6000000.0,"Владивосток, проспект 100",1.0,31.4,5.0,12.0,0,,1.0,,2023.0,Монолитный,,26.0,,Железобетонный,,,450.0,,,,,1,,,,,,,,,,,,,,,,,,,,,43.1552073,131.911553
212,10000000.0,"Владивосток, Русская улица, 57л",3.0,65.1,12.0,6.0,1,Свободная продажа,1.0,есть,2008.0,Панельный,,10.0,,Железобетонный,,Центральное,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.1779056,131.9293156292669
213,6500000.0,"Владивосток, улица Талалихина, 1",1.0,36.4,8.0,6.0,1,Свободная продажа,1.0,есть,1971.0,Кирпичный,v-кирпичный,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,1,,,,,1.0,,,,,,,,,,,,,,,,43.099222850000004,131.9466431107615
214,17000000.0,"Владивосток, улица Калинина, 11а",3.0,70.5,10.0,11.0,1,,1.0,,2020.0,Монолитный,,25.0,,Железобетонный,,Центральное,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.102468,131.9273322461416
215,6900000.0,"Владивосток, улица Нейбута, 8",1.0,37.8,17.0,16.0,1,,1.0,,2018.0,Монолитный,,25.0,,Железобетонный,,Центральное,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.102845200000004,131.96064051101578
216,17500000.0,"Владивосток, улица Крыгина, 105",3.0,92.7,16.8,8.0,0,,1.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.082597449999994,131.85346112369166
217,9100000.0,"Владивосток, Шилкинская улица, 5",1.0,42.1,12.0,9.0,1,,1.0,,2000.0,Кирпичный,v-кирпичный,10.0,1.0,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,,,1,,,,,1.0,,,,,,,,,,,,,,,,43.1193103,131.92273786944446
218,12950000.0,"Владивосток, улица Калинина, 11а",2.0,66.6,7.5,20.0,1,,1.0,,2020.0,Монолитный,,25.0,,Железобетонный,,Центральное,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.102468,131.9273322461416
219,13800000.0,"Владивосток, Фастовская улица, 50",1.0,59.0,25.0,6.0,1,Свободная продажа,,,2022.0,Монолитный,,23.0,,Железобетонный,,Центральное,88.0,,,,,0,,,,,,20 м2,"2,7",,,От трех до пяти,,,,,,,,,,,43.10258385,131.8937514624775
220,7850000.0,"Владивосток, Русская улица, 61д",3.0,72.3,,10.0,1,Свободная продажа,1.0,,2021.0,Панельный,,14.0,,Железобетонный,,Центральное,288.0,,,,,0,есть,,,,,,,,,,на улицу,,,,,,,Раздельный,10.0,,43.1783458,131.93407743990016
221,14000000.0,"Владивосток, улица Невельского, 5",3.0,103.5,15.0,22.0,0,,1.0,,2022.0,Монолитный,,23.0,,Железобетонный,,Центральное,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.11345495,131.94425075811643
222,8400000.0,"Владивосток, улица Калинина, 115а",1.0,40.6,10.0,10.0,1,Свободная продажа,1.0,,2009.0,Железобетон,v-кирпичный,14.0,1.0,Монолитный,,Центральное,,Центральное,Автономная котельная (крышная встроенно-пристроенная),,,1,,,,,,,,,,,,,,,,,,,,,43.092567149999994,131.88529560082083
223,9800000.0,"Владивосток, Океанский проспект, 70",2.0,48.1,4.0,3.0,1,,1.0,,1969.0,Панельный,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,89.0,Центральное,Центральное,,,0,,,,,,,,,,,,,,,,,,,,,43.13093765,131.8965062832258
224,1600000.0,"Владивосток, Вязовая улица, 8",,12.0,3.0,5.0,1,Свободная продажа,,,1976.0,Кирпичный,,5.0,,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,Центральное,Центральное,0,,,,2.0,,,,,,,,,,,,,,,,,43.09644915,131.92140794491303
225,6150000.0,"Владивосток, Стрелковая улица, 18к",1.0,25.4,5.0,13.0,1,Свободная продажа,,,2023.0,Монолитный,,24.0,,Железобетонный,,,436.0,,,,,0,,,,,,,,,,,,,,,,,,,,,43.1082278,131.9524003
226,13000000.0,"Владивосток, Партизанский проспект, 40",3.0,53.8,5.0,2.0,1,,,,1951.0,Кирпичный,"i, блочный",4.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,Центральное,,,0,,,,,,,,,,,,,,,,,,,,,43.1271367,131.90086419066114
